run_id,cdc_name,operation_type,api_request_utc,resource_event_utc,e2e_latency_seconds,primary_pod_name,initial_pod_count,final_pod_count,target_pod_count,status,error_details
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-8,CREATE,2025-05-08T18:45:16.965906+00:00,2025-05-08T18:45:17.475678+00:00,0.509772,sleevecdc-e2e-a0bf0c4c-8-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-5,CREATE,2025-05-08T18:45:16.964043+00:00,2025-05-08T18:45:17.591104+00:00,0.627061,sleevecdc-e2e-a0bf0c4c-5-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-4,CREATE,2025-05-08T18:45:16.963616+00:00,2025-05-08T18:45:17.810951+00:00,0.847335,sleevecdc-e2e-a0bf0c4c-4-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-7,CREATE,2025-05-08T18:45:16.965447+00:00,2025-05-08T18:45:17.958721+00:00,0.993274,sleevecdc-e2e-a0bf0c4c-7-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-6,CREATE,2025-05-08T18:45:16.964717+00:00,2025-05-08T18:45:18.131337+00:00,1.16662,sleevecdc-e2e-a0bf0c4c-6-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-0,CREATE,2025-05-08T18:45:16.959127+00:00,2025-05-08T18:45:20.931858+00:00,3.972731,sleevecdc-e2e-a0bf0c4c-0-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-3,CREATE,2025-05-08T18:45:16.963095+00:00,2025-05-08T18:45:21.598230+00:00,4.635135,sleevecdc-e2e-a0bf0c4c-3-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-2,CREATE,2025-05-08T18:45:16.962471+00:00,2025-05-08T18:45:22.108620+00:00,5.146149,sleevecdc-e2e-a0bf0c4c-2-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-9,CREATE,2025-05-08T18:45:16.966511+00:00,2025-05-08T18:45:22.424447+00:00,5.457936,sleevecdc-e2e-a0bf0c4c-9-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-1,CREATE,2025-05-08T18:45:16.961657+00:00,2025-05-08T18:45:22.668830+00:00,5.707173,sleevecdc-e2e-a0bf0c4c-1-sleeve-sts-0,,1,,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-5,UPDATE,2025-05-08T18:45:53.121224+00:00,2025-05-08T18:45:54.417449+00:00,1.296225,,1,2,2,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-3,UPDATE,2025-05-08T18:45:53.078608+00:00,2025-05-08T18:45:54.639038+00:00,1.56043,,1,2,2,SUCCESS,
a0bf0c4c-2710-48fb-9dce-2573a86a0be4,e2e-a0bf0c4c-7,UPDATE,2025-05-08T18:45:53.118637+00:00,2025-05-08T18:45:55.181757+00:00,2.06312,,1,2,2,SUCCESS,
