run_id,cdc_name,operation_type,api_request_utc,resource_event_utc,e2e_latency_seconds,primary_pod_name,initial_pod_count,final_pod_count,target_pod_count,status,error_details
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-65,CREATE,2025-05-09T20:26:43.112514+00:00,2025-05-09T20:26:43.666711+00:00,0.554197,sleevecdc-e2e-9d719b54-65-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-11,CREATE,2025-05-09T20:17:42.548601+00:00,2025-05-09T20:17:43.693592+00:00,1.144991,sleevecdc-e2e-9d719b54-11-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-64,CREATE,2025-05-09T20:26:33.102948+00:00,2025-05-09T20:26:33.656057+00:00,0.553109,sleevecdc-e2e-9d719b54-64-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-7,CREATE,2025-05-09T20:17:02.528297+00:00,2025-05-09T20:17:03.099679+00:00,0.571382,sleevecdc-e2e-9d719b54-7-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-66,CREATE,2025-05-09T20:26:53.113554+00:00,2025-05-09T20:26:53.771205+00:00,0.657651,sleevecdc-e2e-9d719b54-66-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-2,CREATE,2025-05-09T20:16:12.505887+00:00,2025-05-09T20:16:12.877738+00:00,0.371851,sleevecdc-e2e-9d719b54-2-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-67,CREATE,2025-05-09T20:27:03.184410+00:00,2025-05-09T20:27:04.189389+00:00,1.004979,sleevecdc-e2e-9d719b54-67-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-9,CREATE,2025-05-09T20:17:22.534868+00:00,2025-05-09T20:17:23.431269+00:00,0.896401,sleevecdc-e2e-9d719b54-9-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-68,CREATE,2025-05-09T20:27:13.140398+00:00,2025-05-09T20:27:14.010150+00:00,0.869752,sleevecdc-e2e-9d719b54-68-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-4,CREATE,2025-05-09T20:16:32.518737+00:00,2025-05-09T20:16:33.890460+00:00,1.371723,sleevecdc-e2e-9d719b54-4-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-69,CREATE,2025-05-09T20:27:23.152783+00:00,2025-05-09T20:27:24.084355+00:00,0.931572,sleevecdc-e2e-9d719b54-69-sleeve-sts-0,,1,,SUCCESS,
9d719b54-240c-455e-91e8-b07a5aa8e579,e2e-9d719b54-10,CREATE,2025-05-09T20:17:32.539445+00:00,2025-05-09T20:17:32.987646+00:00,0.448201,sleevecdc-e2e-9d719b54-10-sleeve-sts-0,,1,,SUCCESS,
